./sledgehammer/FFT/uf.796970.smt2, sat, 9, v3, 98.52128864452243
./sledgehammer/TypeSafe/uf.621156.smt2, sat, 5, v1, 189.31621420755982
./sledgehammer/TypeSafe/uf.621156.smt2, sat, 5, v3, 191.73397362232208
./sledgehammer/TypeSafe/uf.621156.smt2, sat, 5, v1, 189.2867515310645
./sledgehammer/TypeSafe/uf.621156.smt2, sat, 5, v3, 189.24401968345046
./sledgehammer/TypeSafe/uf.621156.smt2, sat, 5, v1, 188.43886701390147
./sledgehammer/TypeSafe/uf.621156.smt2, sat, 5, v3, 190.9425227344036
./sledgehammer/Fundamental_Theorem_Algebra/uf.624259.smt2, sat, 9, v1, 1119.3419069461524
./sledgehammer/Fundamental_Theorem_Algebra/uf.624259.smt2, sat, 9, v3, 190.32695063576102
./sledgehammer/Fundamental_Theorem_Algebra/uf.624259.smt2, sat, 9, v1, 1092.5705759488046
./sledgehammer/Fundamental_Theorem_Algebra/uf.624259.smt2, sat, 9, v3, 186.84537287056446
./sledgehammer/Fundamental_Theorem_Algebra/uf.624259.smt2, sat, 9, v1, 1103.5685315467417
./sledgehammer/Fundamental_Theorem_Algebra/uf.624259.smt2, sat, 9, v3, 195.93872249498963
./sledgehammer/FFT/uf.915721.smt2, sat, 25, v1, 198.12952210754156
./sledgehammer/FFT/uf.915721.smt2, sat, 25, v3, 269.8945397026837
./sledgehammer/FFT/uf.915721.smt2, sat, 25, v1, 198.9137343838811
./sledgehammer/FFT/uf.915721.smt2, sat, 25, v3, 268.93723456561565
./sledgehammer/FFT/uf.915721.smt2, sat, 25, v1, 195.64787351340055
./sledgehammer/FFT/uf.915721.smt2, sat, 25, v3, 271.94377226755023
./sledgehammer/Fundamental_Theorem_Algebra/uf.1298359.smt2, sat, 15, v1, 303.11960907280445
./sledgehammer/Fundamental_Theorem_Algebra/uf.1298359.smt2, sat, 15, v3, 229.9698002450168
./sledgehammer/Fundamental_Theorem_Algebra/uf.1298359.smt2, sat, 15, v1, 305.6050471700728
./sledgehammer/Fundamental_Theorem_Algebra/uf.1298359.smt2, sat, 15, v3, 228.11054095998406
./sledgehammer/Fundamental_Theorem_Algebra/uf.1298359.smt2, sat, 15, v1, 305.31994503363967
./sledgehammer/Fundamental_Theorem_Algebra/uf.1298359.smt2, sat, 15, v3, 227.06954203173518
./sledgehammer/Fundamental_Theorem_Algebra/uf.1317183.smt2, sat, 13, v1, 378.9677782393992
./sledgehammer/Fundamental_Theorem_Algebra/uf.1317183.smt2, sat, 13, v3, 212.55577367916703
./sledgehammer/Fundamental_Theorem_Algebra/uf.1317183.smt2, sat, 13, v1, 380.0403479523957
./sledgehammer/Fundamental_Theorem_Algebra/uf.1317183.smt2, sat, 13, v3, 212.3136655241251
./sledgehammer/Fundamental_Theorem_Algebra/uf.1317183.smt2, sat, 13, v1, 383.55001631751657
./sledgehammer/Fundamental_Theorem_Algebra/uf.1317183.smt2, sat, 13, v3, 212.7891942858696
./sledgehammer/TwoSquares/uf.663922.smt2, sat, 8, v1, 300.6427522189915
./sledgehammer/TwoSquares/uf.663922.smt2, sat, 8, v3, 88.21669743210077
./sledgehammer/TwoSquares/uf.663922.smt2, sat, 8, v1, 303.12596345320344
