./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_09_268_1386388.smt_in.smt2, unsat, 7, v3, 521.017865087837
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_09_268_1386388.smt_in.smt2, unsat, 7, v1, 510.35320096090436
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_09_268_1386388.smt_in.smt2, unsat, 7, v3, 519.7892467342317
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v1, 341.8274534083903
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v3, 491.6241607815027
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v1, 340.31522311642766
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v3, 491.8610296100378
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v1, 343.08321706205606
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_52_015_2717538.smt_in.smt2, unsat, 7, v3, 492.4556761160493
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v1, 1144.4930623583496
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v3, 1167.8133835829794
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v1, 1146.5568092800677
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v3, 1169.9044439271092
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v1, 1152.5090022943914
./grasshopper/uninstantiated/rec_reverse_loop_check_heap_access_20_4.smt2, unsat, 15, v3, 1169.5983024127781
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v1, 821.5344307310879
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v3, 196.93291729688644
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v1, 825.0583083666861
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v3, 197.03704516217113
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v1, 823.6069163009524
./grasshopper/uninstantiated/dl_insert_check_heap_access_16_4.smt2, unsat, 7, v3, 196.42444260045886
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v1, 741.9288082458079
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v3, 554.6748588122427
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v1, 743.8727971352637
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v3, 553.379590306431
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v1, 742.8867927789688
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_18_305_1444907.smt_in.smt2, unsat, 7, v3, 551.8638538755476
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v1, 293.8377339541912
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v3, 292.0336226709187
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v1, 295.9148670248687
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v3, 291.19755978137255
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v1, 297.29736031219363
./20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_49_14_041_1152954.smt_in.smt2, unsat, 9, v3, 290.1421121843159
./grasshopper/instantiated/split_invariant_73_2.smt2, unsat, 26, v1, 337.574989259243
./grasshopper/instantiated/split_invariant_73_2.smt2, unsat, 26, v3, 337.57778108492494
./grasshopper/instantiated/split_invariant_73_2.smt2, unsat, 26, v1, 336.720123462379
./grasshopper/instantiated/split_invariant_73_2.smt2, unsat, 26, v3, 339.03291124105453
./grasshopper/instantiated/split_invariant_73_2.smt2, unsat, 26, v1, 339.0244776532054
./grasshopper/instantiated/split_invariant_73_2.smt2, unsat, 26, v3, 337.55134289339185
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v1, 407.0719653740525
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v3, 405.6962090693414
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v1, 406.6497496664524
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v3, 405.497530259192
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v1, 406.62991916015744
./20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_48_233_1073860.smt_in.smt2, unsat, 9, v3, 406.1611904874444
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v1, 690.7585361264646
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v3, 781.1237559728324
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v1, 693.1734712719917
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v3, 778.3676646873355
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v1, 687.019535087049
./sledgehammer/StrongNorm/uf.793193.smt2, unsat, 5, v3, 779.8178559578955
./grasshopper/instantiated/dl_remove_loop_invariant_35_5.smt2, unsat, 8, v1, 450.1182198598981
./grasshopper/instantiated/dl_remove_loop_invariant_35_5.smt2, unsat, 8, v3, 449.76079173386097
./grasshopper/instantiated/dl_remove_loop_invariant_35_5.smt2, unsat, 8, v1, 450.60034422948956
./grasshopper/instantiated/dl_remove_loop_invariant_35_5.smt2, unsat, 8, v3, 449.4485865831375
